Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos
13,657,13,Apr 11,BOS,,TOR,W7-6,CG,5,3,2,0,0,0,0,0,1,0,2,1,0,0,1,0,0,0,.240,.328,.480,.808,2,1.66,0.091,1.25,0.04%,0.70,8.00,12.40,RF
14,658,14,Apr 12,BOS,,BAL,W6-4,CG,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,.226,.323,.453,.775,2,.61,-0.025,.51,-0.01%,-0.18,7.00,9.00,RF
15,659,15,Apr 13,BOS,,BAL,L5-9,CG,4,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.232,.333,.446,.780,2,.84,0.011,.72,0.01%,0.18,5.00,6.00,CF
16,660,16,Apr 14,BOS,,BAL,W4-0,CG,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.233,.329,.433,.762,2,.74,-0.045,.60,-0.02%,-0.27,5.00,6.20,CF
17,661,17,Apr 15,BOS,,BAL,L1-8,CG,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.222,.324,.413,.737,2,.67,-0.066,.57,-0.03%,-0.25,2.00,3.00,CF
18,662,18,Apr 16,BOS,@,NYY,L0-8,CG,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.212,.321,.394,.714,1,.66,0.003,.54,0.00%,-0.45,2.00,3.00,RF
19,663,19,Apr 17,BOS,@,NYY,L3-5,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.200,.305,.371,.676,1,.86,-0.090,.64,-0.04%,-0.93,0.00,0.00,RF
20,664,20,Apr 19,BOS,@,TBR,W6-4,CG,4,4,2,2,1,0,1,1,0,0,0,0,0,0,0,1,0,0,.216,.314,.432,.746,2,1.25,0.215,.97,0.10%,0.64,21.00,27.90,RF
21,665,21,Apr 20,BOS,@,TBR,W6-5,CG,5,4,0,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,.231,.330,.436,.766,2,.54,0.009,.46,0.01%,0.38,8.00,9.00,RF
22,666,22,Apr 21,BOS,@,TBR,W4-3,CG(11),5,4,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.244,.344,.439,.783,2,1.31,-0.008,1.20,0.00%,0.27,10.00,12.20,RF
23,667,23,Apr 23 (1),BOS,,DET,L4-7,CG,4,4,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,.244,.340,.430,.770,2,1.64,0.028,1.33,0.01%,0.36,7.00,10.00,CF
24,668,24,Apr 23 (2),BOS,,DET,L2-4,CG,5,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,.239,.352,.420,.773,2,1.71,0.012,1.29,0.01%,0.77,6.00,9.00,RF
25,669,25,Apr 24,BOS,,DET,W11-4,CG,5,4,2,2,1,0,0,1,1,1,2,0,0,0,0,0,0,0,.250,.364,.435,.798,2,.49,0.056,.33,0.02%,1.34,16.00,21.90,RF
26,670,26,Apr 25,BOS,,DET,W7-3,CG,4,4,1,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,.260,.368,.458,.827,2,.94,0.112,.70,0.05%,0.91,14.00,18.70,RF
27,671,27,Apr 27,BOS,,TBR,L1-2,CG,5,5,1,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,.267,.370,.485,.855,2,1.77,0.026,1.63,0.01%,0.70,17.00,21.70,RF
28,672,28,Apr 28,BOS,,TBR,L2-5,CG,4,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,.269,.374,.490,.864,2,.96,0.059,.78,0.03%,0.92,7.00,9.00,RF
29,673,29,Apr 29,BOS,,OAK,W9-4,CG,5,4,1,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,.287,.391,.500,.891,2,.90,0.110,.56,0.04%,1.76,15.00,18.70,RF
30,674,30,Apr 30,BOS,,OAK,W5-1,CG,4,4,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.295,.394,.527,.921,2,.40,0.071,.25,0.03%,0.86,17.00,21.70,RF
31,675,31,May 1,BOS,,OAK,W7-3,CG,5,2,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,.289,.394,.518,.912,2,.60,0.036,.44,0.02%,0.03,6.00,9.50,RF
32,676,32,May 2,BOS,@,CHW,L4-6,CG,5,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.303,.401,.521,.922,2,1.15,0.162,.95,0.08%,1.11,13.00,15.40,RF
33,677,33,May 3,BOS,@,CHW,W6-1,CG,5,4,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,.293,.395,.504,.899,2,.40,-0.027,.31,-0.01%,0.16,4.00,6.50,RF
34,678,34,May 4,BOS,@,CHW,W15-2,CG,6,5,1,2,1,0,0,2,1,0,1,0,0,0,0,0,0,0,.297,.399,.508,.907,2,.45,0.190,.37,0.09%,1.44,16.00,22.20,RF
35,679,36 (1),May 6,BOS,@,BAL,L1-4,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.288,.389,.492,.881,1,.88,-0.094,.87,-0.06%,-1.17,0.00,0.00,RF
36,680,37,May 7,BOS,@,BAL,W8-5,CG,5,2,2,1,0,0,0,1,3,0,0,0,0,0,0,0,0,1,.291,.401,.493,.894,2,.92,0.118,.80,0.06%,1.67,15.00,21.90,RF
37,681,38,May 8,BOS,@,BAL,W2-1,CG(12),6,4,1,1,0,0,1,1,2,0,2,0,0,0,0,0,1,0,.290,.405,.507,.912,2,1.11,0.105,1.06,0.06%,0.93,23.00,30.70,RF
38,682,39,May 10,BOS,,SEA,W14-1,CG,5,3,2,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,.291,.410,.504,.914,2,.47,0.072,.47,0.04%,1.04,13.00,18.90,RF
39,683,40,May 11,BOS,,SEA,W9-5,CG,5,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.290,.410,.497,.907,2,.34,0.004,.35,0.00%,-0.14,7.00,9.20,RF
40,684,41,May 12,BOS,,SEA,W11-2,CG,5,4,2,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,.289,.410,.497,.906,2,.41,0.053,.45,0.04%,1.27,11.00,15.40,CF
41,685,42,May 14,BOS,,COL,L4-5,CG(11),5,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.279,.399,.481,.879,2,1.10,-0.143,1.20,-0.09%,-1.25,0.00,0.00,CF
42,686,43,May 15,BOS,,COL,W6-5,CG(10),5,5,2,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,.289,.404,.491,.895,2,1.63,0.102,1.72,0.06%,1.12,17.00,21.90,RF
43,687,44,May 17,BOS,,HOU,L1-3,CG,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.287,.399,.482,.881,2,1.60,-0.062,1.72,-0.04%,-0.27,8.00,9.00,CF
44,688,45,May 18,BOS,,HOU,L3-7,CG,4,3,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,.287,.401,.479,.880,2,.91,0.072,.97,0.05%,0.75,12.00,15.20,RF
45,689,46,May 19,BOS,,HOU,W4-3,CG,4,4,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.298,.408,.491,.899,2,1.11,0.066,1.10,0.04%,0.82,17.00,21.60,RF
46,690,47,May 20,BOS,@,TOR,W12-2,CG,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.295,.403,.483,.886,2,.54,-0.067,.57,-0.04%,-0.64,5.00,6.20,RF
47,691,48,May 21,BOS,@,TOR,L3-10,CG,5,4,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.289,.398,.472,.870,2,.87,0.006,.95,0.00%,-0.69,2.00,3.00,RF
48,692,49,May 22,BOS,@,TOR,W6-5,CG(13),6,3,2,1,0,0,1,1,3,0,1,0,0,0,0,0,1,0,.290,.405,.486,.892,2,1.26,0.519,1.31,0.32%,2.27,27.00,36.90,RF
49,693,50,May 23,BOS,@,TOR,W8-2,CG,5,4,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,.289,.405,.487,.892,2,.71,0.068,.73,0.04%,1.23,9.00,12.50,DH
50,694,51,May 24,BOS,@,HOU,L3-4,CG,4,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.293,.407,.492,.899,2,.78,0.057,.86,0.04%,0.26,8.00,9.00,RF
51,695,52,May 25,BOS,@,HOU,L3-4,CG,5,4,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.292,.407,.487,.894,2,1.97,-0.004,2.10,0.00%,0.02,5.00,6.00,RF
52,696,53,May 26,BOS,@,HOU,W4-1,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,.286,.400,.477,.877,2,.98,-0.015,.94,-0.01%,-0.06,5.00,6.00,RF
53,697,54,May 27,BOS,,CLE,W12-5,CG,5,5,2,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,.289,.400,.475,.875,2,.89,0.221,.92,0.14%,1.47,12.00,15.90,RF
54,698,55,May 28,BOS,,CLE,L5-7,CG,5,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.284,.396,.466,.862,1,1.09,-0.036,1.12,-0.02%,-0.99,2.00,3.00,RF
55,699,56,May 29,BOS,,CLE,L9-14,CG,5,5,1,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,.286,.396,.479,.875,2,.70,0.023,.70,0.01%,0.44,17.00,21.70,RF
56,700,57,May 31,BOS,@,NYY,L1-4,CG,4,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,.282,.394,.472,.866,1,1.00,-0.054,1.02,-0.03%,-0.64,2.00,3.00,RF
57,701,58,Jun 1,BOS,@,NYY,L3-5,CG,5,4,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.282,.394,.468,.862,1,1.61,0.007,1.55,0.00%,-0.49,5.00,6.00,RF
58,702,59,Jun 2,BOS,@,NYY,W8-5,CG,5,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.276,.387,.458,.844,1,.55,-0.071,.49,-0.04%,-1.19,0.00,0.00,CF RF
59,703,60,Jun 4,BOS,@,KCR,W8-3,CG,5,4,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,.275,.387,.459,.845,1,.68,0.051,.56,0.03%,0.15,9.00,12.20,RF
60,704,61,Jun 5,BOS,@,KCR,W8-0,CG,5,4,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.270,.384,.451,.834,1,.68,0.004,.62,0.00%,-0.79,4.00,6.20,RF
61,705,62,Jun 6,BOS,@,KCR,W7-5,CG,5,3,1,1,0,0,1,2,2,0,0,0,0,0,0,0,0,0,.271,.387,.462,.849,1,1.15,0.142,1.12,0.08%,1.27,20.00,28.20,RF
62,706,63,Jun 7,BOS,,TBR,L1-5,CG,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.268,.385,.456,.841,1,1.00,0.010,1.19,0.01%,0.01,2.00,3.00,RF
63,707,64,Jun 8 (1),BOS,,TBR,L2-9,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.263,.380,.449,.829,1,.76,-0.081,.89,-0.06%,-0.93,0.00,0.00,RF
64,708,65,Jun 8 (2),BOS,,TBR,W5-1,CG,4,3,2,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,.268,.385,.455,.840,1,.77,0.074,.80,0.05%,0.94,14.00,18.40,DH
65,709,66,Jun 9,BOS,,TBR,L1-6,CG,5,5,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.267,.382,.450,.832,1,.99,0.000,1.16,0.00%,-0.48,3.00,3.00,RF
66,710,67,Jun 10,BOS,,TEX,L3-4,CG(11),5,3,1,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,.268,.386,.453,.838,1,1.16,0.081,1.11,0.05%,0.44,11.00,15.20,RF
67,711,68,Jun 11,BOS,,TEX,L5-9,CG,5,4,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,.267,.386,.461,.847,1,.70,-0.017,.60,-0.01%,0.47,16.00,21.70,CF RF
68,712,69,Jun 12,BOS,,TEX,W4-3,CG,5,4,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,.263,.383,.454,.837,1,1.40,-0.061,1.12,-0.03%,-0.19,4.00,6.50,RF
69,713,70,Jun 13,BOS,,TEX,W7-6,CG,4,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.264,.384,.453,.837,1,.89,-0.010,.79,-0.01%,-0.13,5.00,6.00,RF
70,714,72 (1),Jun 15,BOS,@,BAL,W7-2,CG,5,4,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,.260,.382,.446,.828,1,1.25,-0.163,1.19,-0.09%,-1.88,4.00,6.20,RF
71,715,73,Jun 16,BOS,@,BAL,W8-6,CG(10),6,5,1,3,0,1,0,2,1,0,0,0,0,0,0,0,1,0,.266,.387,.456,.843,1,1.17,0.385,1.19,0.23%,2.89,27.00,34.20,RF
72,716,74,Jun 17,BOS,@,MIN,W2-0,CG,4,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.266,.385,.453,.838,1,.92,-0.042,.98,-0.03%,-0.31,5.00,6.20,RF
73,717,75,Jun 18,BOS,@,MIN,L3-4,CG(17),8,6,2,1,0,0,1,1,2,1,1,0,0,0,0,1,1,0,.264,.385,.458,.843,1,2.43,0.044,2.76,0.03%,-0.39,25.00,33.90,RF
74,718,76,Jun 19,BOS,@,MIN,W9-4,CG,6,5,1,2,0,1,0,1,1,0,1,0,0,0,0,0,0,0,.266,.387,.464,.850,1,.96,0.085,1.02,0.05%,1.06,17.00,21.70,DH
75,719,77,Jun 21,BOS,,TOR,W7-5,CG(10),5,5,1,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,.265,.384,.466,.850,1,1.22,-0.113,1.33,-0.07%,-0.59,10.00,12.20,RF
76,720,78,Jun 22,BOS,,TOR,L7-8,CG,5,2,2,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,.264,.387,.463,.850,1,1.02,0.046,1.14,0.03%,-0.43,15.00,21.40,RF
77,721,79,Jun 23,BOS,,TOR,L1-6,CG,4,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.267,.388,.463,.852,1,.60,0.001,.63,0.00%,0.29,6.00,6.00,RF
78,722,80,Jun 24,BOS,,CHW,W6-5,CG,5,5,1,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,.266,.386,.469,.855,1,1.33,0.007,1.36,0.00%,-0.05,14.00,18.70,RF
79,723,81,Jun 25,BOS,,CHW,W6-3,CG,4,4,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,.265,.384,.466,.850,1,.73,-0.009,.78,-0.01%,-0.35,5.00,6.20,RF
80,724,82,Jun 26,BOS,,CHW,L7-8,CG,5,5,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.261,.379,.459,.838,1,1.53,-0.040,1.68,-0.03%,-0.49,4.00,6.70,RF
81,725,83,Jun 29,BOS,,NYY,L13-17,CG,6,4,2,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,.261,.381,.456,.837,1,.56,0.013,.67,0.01%,0.76,11.00,15.40,RF
82,726,84,Jun 30,BOS,,NYY,L8-12,CG,5,4,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,.261,.381,.453,.835,1,.70,-0.007,.74,0.00%,-0.30,5.00,6.00,RF
83,727,85,Jul 2,BOS,@,TOR,W10-6,CG,5,3,3,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,.265,.387,.455,.842,1,.46,0.058,.35,0.03%,0.87,21.00,27.60,RF
84,728,86,Jul 3,BOS,@,TOR,L3-6,CG,4,3,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,.265,.388,.457,.845,1,1.63,-0.091,1.35,-0.05%,-0.60,9.00,12.20,RF
85,729,87,Jul 4,BOS,@,TOR,W8-7,CG,5,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.262,.386,.452,.837,1,.71,-0.060,.51,-0.03%,-0.46,4.00,6.20,RF
86,730,88,Jul 5,BOS,@,DET,W9-6,CG,5,4,3,3,1,0,0,1,0,0,0,0,0,1,0,0,0,0,.268,.388,.458,.847,1,.73,0.110,.59,0.05%,1.06,19.00,25.10,RF
87,731,89,Jul 6,BOS,@,DET,W10-6,CG,6,5,2,3,1,1,0,2,1,0,0,0,0,0,0,0,0,0,.273,.392,.469,.861,1,.85,0.219,.74,0.11%,2.82,26.00,34.40,RF
88,732,90,Jul 7,BOS,@,DET,W6-3,CG,5,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.272,.392,.467,.859,1,.90,-0.056,.84,-0.03%,-0.59,7.00,9.20,RF
89,733,91,Jul 12,BOS,,LAD,W8-1,CG,4,3,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,.273,.391,.468,.859,1,.69,0.025,.71,0.02%,0.04,9.00,12.70,RF
90,734,92,Jul 13,BOS,,LAD,L2-11,CG,4,4,1,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,.273,.390,.466,.856,1,.83,-0.004,.86,0.00%,-0.08,10.00,12.20,RF
91,735,93,Jul 14,BOS,,LAD,L4-7,CG(12),6,5,1,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,.275,.391,.468,.859,1,1.55,0.006,1.50,0.00%,0.27,12.00,15.20,RF
92,736,94,Jul 15,BOS,,TOR,W10-8,CG,5,4,2,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,.277,.394,.471,.865,1,.63,0.094,.53,0.05%,0.76,14.00,18.40,RF
93,737,95,Jul 16,BOS,,TOR,L4-10,CG,5,5,1,3,0,0,0,2,0,0,1,0,0,0,0,0,0,0,.281,.396,.473,.869,1,1.21,0.233,1.14,0.13%,1.81,15.00,19.20,RF
94,738,96,Jul 17,BOS,,TOR,W5-4,CG,5,4,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,.281,.396,.470,.866,1,.96,-0.065,.77,-0.03%,-0.79,7.00,9.20,RF
95,739,97,Jul 18,BOS,,TOR,W5-0,CG,4,3,2,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,.284,.399,.480,.879,1,.78,0.057,.69,0.03%,1.53,21.00,27.90,CF
96,740,98,Jul 19,BOS,@,BAL,L2-11,CG,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.284,.398,.477,.875,1,1.01,-0.046,.96,-0.03%,-1.06,3.00,3.00,DH
97,741,99,Jul 20,BOS,@,BAL,W17-6,CG,6,6,2,3,1,0,1,3,0,0,0,0,0,0,0,0,0,0,.287,.399,.488,.887,1,.36,0.196,.31,0.10%,2.61,28.00,37.90,RF
98,742,100,Jul 21,BOS,@,BAL,L0-5,CG,4,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,.285,.398,.484,.882,1,.52,-0.044,.49,-0.03%,0.01,7.00,9.00,RF
99,743,101,Jul 22,BOS,@,TBR,W9-4,CG,5,4,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.282,.396,.479,.875,1,.48,0.012,.50,0.01%,-0.65,4.00,6.20,RF
100,744,102,Jul 23,BOS,@,TBR,W5-4,CG,5,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,.281,.394,.476,.870,1,.66,-0.061,.79,-0.04%,-0.78,3.00,3.00,RF
101,745,103,Jul 24,BOS,@,TBR,L2-3,CG,4,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.281,.392,.476,.869,1,1.07,0.017,1.31,0.01%,0.35,7.00,9.20,RF
102,746,104,Jul 25,BOS,,NYY,W19-3,GS-8,5,4,2,2,1,0,0,2,1,0,1,0,0,0,0,0,0,0,.283,.395,.479,.874,1,.41,0.069,.44,0.04%,1.01,18.00,25.40,RF
103,747,105,Jul 26,BOS,,NYY,W10-5,CG,5,5,4,4,1,0,3,5,0,0,0,0,0,0,0,0,0,0,.289,.399,.507,.906,1,.35,0.197,.43,0.14%,4.67,53.00,72.30,RF
104,748,106,Jul 27,BOS,,NYY,W9-5,CG,5,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,.286,.395,.502,.897,1,.52,-0.054,.70,-0.04%,-0.81,2.00,3.50,RF
105,749,107,Jul 28,BOS,,NYY,L6-9,CG,5,3,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,.284,.393,.499,.892,1,.74,-0.070,1.09,-0.06%,0.25,6.00,9.70,RF
106,750,108,Jul 30,BOS,,TBR,L5-6,CG,5,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.284,.393,.496,.889,1,1.74,0.022,2.33,0.02%,0.00,7.00,9.20,RF
107,751,109,Jul 31,BOS,,TBR,L5-8,CG,5,5,1,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,.288,.395,.500,.895,1,.86,0.010,1.05,0.01%,0.28,13.00,15.20,RF
108,752,110,Aug 1,BOS,,TBR,L4-9,CG,5,5,2,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,.289,.395,.506,.901,1,.77,0.023,.82,0.02%,0.68,19.00,24.90,RF
109,753,111,Aug 2,BOS,@,NYY,L2-4,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.286,.392,.501,.893,1,1.14,-0.117,.96,-0.06%,-1.00,0.00,0.00,RF
110,754,112,Aug 3 (1),BOS,@,NYY,L2-9,GS-7,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.284,.390,.498,.887,1,.60,-0.047,.42,-0.02%,-0.60,0.00,0.00,RF
111,755,113,Aug 3 (2),BOS,@,NYY,L4-6,CG,5,4,0,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,.284,.390,.495,.885,1,2.00,0.117,1.15,0.04%,0.72,9.00,13.00,RF
112,756,114,Aug 4,BOS,@,NYY,L4-7,CG,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.284,.389,.493,.882,1,.77,-0.043,.33,-0.01%,-0.77,3.00,3.00,RF
113,757,115,Aug 5,BOS,,KCR,W7-5,GS-8,4,2,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,.283,.390,.491,.881,1,.74,0.028,.20,0.01%,0.49,8.00,12.40,RF
114,758,116,Aug 6,BOS,,KCR,L2-6,CG,5,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.280,.388,.487,.874,1,.74,-0.046,.26,-0.01%,-0.73,2.00,3.00,RF
115,759,117,Aug 7 susp,BOS,,KCR,W5-4,CG(10),5,4,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.282,.390,.487,.876,1,1.27,0.078,.32,0.01%,0.49,10.00,12.20,RF
116,760,118,Aug 8,BOS,,LAA,W3-0,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.279,.387,.483,.869,1,.58,-0.090,.18,-0.02%,-1.51,0.00,0.00,RF
117,761,119,Aug 9,BOS,,LAA,W16-4,CG,5,4,2,2,1,0,1,2,1,0,1,0,0,0,0,0,0,0,.281,.389,.491,.880,1,.68,0.252,.24,0.05%,2.18,25.00,34.40,RF
118,762,120,Aug 10,BOS,,LAA,L4-12,CG,5,4,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,.283,.391,.494,.884,1,1.20,0.110,.45,0.03%,1.74,12.00,15.50,RF
119,763,121,Aug 11,BOS,,LAA,L4-5,8-GF(10),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.283,.390,.493,.882,6,3.63,-0.206,1.16,-0.04%,-0.80,0.00,0.00,PR DH
120,764,122,Aug 12,BOS,@,CLE,L5-6,CG,5,4,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.280,.388,.488,.877,1,1.34,-0.034,.31,-0.01%,-0.71,4.00,6.20,RF
121,765,123,Aug 13,BOS,@,CLE,W7-6,CG(10),6,5,2,2,0,1,0,1,1,0,1,0,0,0,0,0,0,0,.282,.389,.492,.881,1,.90,0.102,.14,0.01%,1.36,19.00,24.90,RF
122,766,124,Aug 14,BOS,@,CLE,W5-1,CG,5,5,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,.281,.388,.491,.878,1,.91,-0.056,.19,-0.01%,-0.91,7.00,9.20,RF
123,767,125,Aug 16,BOS,,BAL,W9-1,CG,5,5,2,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,.282,.388,.498,.886,1,.62,0.002,.11,0.00%,0.70,21.00,27.90,RF
